,id,name,common_name,supercategory,kingdom,phylum,class,order,family,genus,specific_epithet,image_dir_name,label
10,10,Araneus marmoreus,Marbled Orb Weaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,marmoreus,00010_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_marmoreus,Marbled Orb Weaver Arachnids Araneus
11,11,Araneus quadratus,Four-spot Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,00011_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_quadratus,Four-spot Orbweaver Arachnids Araneus
12,12,Araneus trifolium,Shamrock Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,trifolium,00012_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_trifolium,Shamrock Orbweaver Arachnids Araneus
13,13,Araniella displicata,Six-spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araniella,displicata,00013_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araniella_displicata,Six-spotted Orbweaver Arachnids Araniella
14,14,Argiope appensa,Hawaiian Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,appensa,00014_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_appensa,Hawaiian Garden Spider Arachnids Argiope
15,15,Argiope argentata,Silver Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,argentata,00015_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_argentata,Silver Garden Spider Arachnids Argiope
16,16,Argiope aurantia,Yellow Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,aurantia,00016_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_aurantia,Yellow Garden Spider Arachnids Argiope
17,17,Argiope australis,Common Garden Orbweb Spinner,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,australis,00017_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_australis,Common Garden Orbweb Spinner Arachnids Argiope
18,18,Argiope bruennichi,Wasp Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,bruennichi,00018_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_bruennichi,Wasp Spider Arachnids Argiope
19,19,Argiope keyserlingi,St. Andrew's Cross Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,keyserlingi,00019_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_keyserlingi,St. Andrew's Cross Spider Arachnids Argiope
20,20,Argiope lobata,Lobed Argiope,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,lobata,00020_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_lobata,Lobed Argiope Arachnids Argiope
21,21,Argiope trifasciata,Banded Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,trifasciata,00021_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_trifasciata,Banded Garden Spider Arachnids Argiope
22,22,Austracantha minax,Australian Jewel Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Austracantha,minax,00022_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Austracantha_minax,Australian Jewel Spider Arachnids Austracantha
23,23,Cyclosa conica,Conical Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,conica,00023_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Cyclosa_conica,Conical Orbweaver Arachnids Cyclosa
24,24,Cyclosa turbinata,Humped Trashline Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,turbinata,00024_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Cyclosa_turbinata,Humped Trashline Orbweaver Arachnids Cyclosa
25,25,Cyrtophora citricola,Tropical Tent-web Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyrtophora,citricola,00025_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Cyrtophora_citricola,Tropical Tent-web Spider Arachnids Cyrtophora
26,26,Eriophora pustulosa,Garden Orbweb Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eriophora,pustulosa,00026_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Eriophora_pustulosa,Garden Orbweb Spider Arachnids Eriophora
27,27,Eriophora ravilla,Tropical Orbweaver Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eriophora,ravilla,00027_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Eriophora_ravilla,Tropical Orbweaver Spider Arachnids Eriophora
28,28,Gasteracantha cancriformis,Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Gasteracantha,cancriformis,00028_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Gasteracantha_cancriformis,Spinybacked Orbweaver Arachnids Gasteracantha
29,29,Gasteracantha kuhli,Black-and-white Spiny Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Gasteracantha,kuhli,00029_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Gasteracantha_kuhli,Black-and-white Spiny Spider Arachnids Gasteracantha
30,30,Larinioides cornutus,Furrow Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Larinioides,cornutus,00030_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Larinioides_cornutus,Furrow Orbweaver Arachnids Larinioides
31,31,Mangora acalypha,Cricket-bat Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mangora,acalypha,00031_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Mangora_acalypha,Cricket-bat Orbweaver Arachnids Mangora
32,32,Mangora placida,Tuft-legged Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mangora,placida,00032_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Mangora_placida,Tuft-legged Orbweaver Arachnids Mangora
33,33,Mecynogea lemniscata,Basilica Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mecynogea,lemniscata,00033_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Mecynogea_lemniscata,Basilica Spider Arachnids Mecynogea
34,34,Micrathena gracilis,Spined Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,gracilis,00034_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Micrathena_gracilis,Spined Micrathena Arachnids Micrathena
35,35,Micrathena mitrata,White Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,mitrata,00035_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Micrathena_mitrata,White Micrathena Arachnids Micrathena
36,36,Micrathena sagittata,Arrow-shaped Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,sagittata,00036_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Micrathena_sagittata,Arrow-shaped Micrathena Arachnids Micrathena
37,37,Neoscona arabesca,Arabesque Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,arabesca,00037_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_arabesca,Arabesque Orbweaver Arachnids Neoscona
38,38,Neoscona crucifera,Hentz's Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,crucifera,00038_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_crucifera,Hentz's Orbweaver Arachnids Neoscona
39,39,Neoscona domiciliorum,Red-femured Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,domiciliorum,00039_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_domiciliorum,Red-femured Spotted Orbweaver Arachnids Neoscona
40,40,Neoscona oaxacensis,Western Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,oaxacensis,00040_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_oaxacensis,Western Spotted Orbweaver Arachnids Neoscona
41,41,Nephila pilipes,Giant Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephila,pilipes,00041_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Nephila_pilipes,Giant Golden Orb-weaving Spider Arachnids Nephila
42,42,Nuctenea umbratica,Walnut Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nuctenea,umbratica,00042_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Nuctenea_umbratica,Walnut Orbweaver Arachnids Nuctenea
43,43,Thelacantha brevispina,Asian Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Thelacantha,brevispina,00043_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Thelacantha_brevispina,Asian Spinybacked Orbweaver Arachnids Thelacantha
44,44,Trichonephila clavata,Jorō Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,clavata,00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata,Jorō Spider Arachnids Trichonephila
45,45,Trichonephila clavipes,Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,clavipes,00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes,Golden Silk Spider Arachnids Trichonephila
46,46,Trichonephila edulis,Edible Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,edulis,00046_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_edulis,Edible Golden Silk Spider Arachnids Trichonephila
47,47,Trichonephila fenestrata,Hairy Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,fenestrata,00047_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_fenestrata,Hairy Golden Orb-weaving Spider Arachnids Trichonephila
48,48,Trichonephila plumipes,Tiger Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,plumipes,00048_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_plumipes,Tiger Spider Arachnids Trichonephila
49,49,Verrucosa arenata,Arrowhead Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Verrucosa,arenata,00049_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Verrucosa_arenata,Arrowhead Orbweaver Arachnids Verrucosa
50,50,Zygiella x-notata,Silver-sided Sector Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,x-notata,00050_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Zygiella_x-notata,Silver-sided Sector Spider Arachnids Zygiella
51,51,Cheiracanthium mildei,Yellow Sac Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,mildei,00051_Animalia_Arthropoda_Arachnida_Araneae_Cheiracanthiidae_Cheiracanthium_mildei,Yellow Sac Spider Arachnids Cheiracanthium
52,52,Nyssus coloripes,Spotted ground swift,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Corinnidae,Nyssus,coloripes,00052_Animalia_Arthropoda_Arachnida_Araneae_Corinnidae_Nyssus_coloripes,Spotted ground swift Arachnids Nyssus
53,53,Badumna longinqua,Grey House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Desidae,Badumna,longinqua,00053_Animalia_Arthropoda_Arachnida_Araneae_Desidae_Badumna_longinqua,Grey House Spider Arachnids Badumna
54,54,Dysdera crocata,Woodlouse Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,crocata,00054_Animalia_Arthropoda_Arachnida_Araneae_Dysderidae_Dysdera_crocata,Woodlouse Spider Arachnids Dysdera
55,55,Kukulcania hibernalis,Southern House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Filistatidae,Kukulcania,hibernalis,00055_Animalia_Arthropoda_Arachnida_Araneae_Filistatidae_Kukulcania_hibernalis,Southern House Spider Arachnids Kukulcania
56,56,Herpyllus ecclesiasticus,Parson Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Herpyllus,ecclesiasticus,00056_Animalia_Arthropoda_Arachnida_Araneae_Gnaphosidae_Herpyllus_ecclesiasticus,Parson Spider Arachnids Herpyllus
57,57,Frontinella pyramitela,Bowl and Doily Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Frontinella,pyramitela,00057_Animalia_Arthropoda_Arachnida_Araneae_Linyphiidae_Frontinella_pyramitela,Bowl and Doily Spider Arachnids Frontinella
58,58,Neriene radiata,Filmy Dome Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Neriene,radiata,00058_Animalia_Arthropoda_Arachnida_Araneae_Linyphiidae_Neriene_radiata,Filmy Dome Spider Arachnids Neriene
59,59,Hogna radiata,Radiated Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Hogna,radiata,00059_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Hogna_radiata,Radiated Wolf Spider Arachnids Hogna
60,60,Rabidosa rabida,Rabid Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Rabidosa,rabida,00060_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Rabidosa_rabida,Rabid Wolf Spider Arachnids Rabidosa
61,61,Oxyopes salticus,Striped Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,salticus,00061_Animalia_Arthropoda_Arachnida_Araneae_Oxyopidae_Oxyopes_salticus,Striped Lynx Spider Arachnids Oxyopes
62,62,Oxyopes scalaris,Western Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,scalaris,00062_Animalia_Arthropoda_Arachnida_Araneae_Oxyopidae_Oxyopes_scalaris,Western Lynx Spider Arachnids Oxyopes
63,63,Peucetia viridans,Green Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Peucetia,viridans,00063_Animalia_Arthropoda_Arachnida_Araneae_Oxyopidae_Peucetia_viridans,Green Lynx Spider Arachnids Peucetia
64,64,Holocnemus pluchei,Marbled Cellar Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Holocnemus,pluchei,00064_Animalia_Arthropoda_Arachnida_Araneae_Pholcidae_Holocnemus_pluchei,Marbled Cellar Spider Arachnids Holocnemus
65,65,Pholcus phalangioides,Skull Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,phalangioides,00065_Animalia_Arthropoda_Arachnida_Araneae_Pholcidae_Pholcus_phalangioides,Skull Spider Arachnids Pholcus
66,66,Dolomedes albineus,Whitebanded Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,albineus,00066_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_albineus,Whitebanded Fishing Spider Arachnids Dolomedes
67,67,Dolomedes minor,Nurseryweb Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,minor,00067_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_minor,Nurseryweb Spider Arachnids Dolomedes
68,68,Dolomedes scriptus,Striped Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,scriptus,00068_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_scriptus,Striped Fishing Spider Arachnids Dolomedes
69,69,Dolomedes tenebrosus,Dark Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,tenebrosus,00069_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_tenebrosus,Dark Fishing Spider Arachnids Dolomedes
70,70,Dolomedes triton,Six-spotted Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,triton,00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton,Six-spotted Fishing Spider Arachnids Dolomedes
71,71,Pisaura mirabilis,European Nursery Web spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Pisaura,mirabilis,00071_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Pisaura_mirabilis,European Nursery Web spider Arachnids Pisaura
72,72,Pisaurina mira,American Nursery Web Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Pisaurina,mira,00072_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Pisaurina_mira,American Nursery Web Spider Arachnids Pisaurina
73,73,Anasaitis canosa,Twinflagged Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Anasaitis,canosa,00073_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Anasaitis_canosa,Twinflagged Jumping Spider Arachnids Anasaitis
74,74,Attulus fasciger,Asiatic Wall Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Attulus,fasciger,00074_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Attulus_fasciger,Asiatic Wall Jumping Spider Arachnids Attulus
75,75,Colonus hesperus,Colonus hesperus,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Colonus,hesperus,00075_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Colonus_hesperus,Colonus hesperus Arachnids Colonus
76,76,Colonus sylvanus,Sylvan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Colonus,sylvanus,00076_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Colonus_sylvanus,Sylvan Jumping Spider Arachnids Colonus
77,77,Eris militaris,Bronze Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Eris,militaris,00077_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Eris_militaris,Bronze Jumper Arachnids Eris
78,78,Hasarius adansoni,Adanson's House Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,adansoni,00078_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hasarius_adansoni,Adanson's House Jumper Arachnids Hasarius
79,79,Helpis minitabunda,Bronze hopper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Helpis,minitabunda,00079_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Helpis_minitabunda,Bronze hopper Arachnids Helpis
80,80,Hentzia mitrata,White-jawed Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,mitrata,00080_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hentzia_mitrata,White-jawed Jumping Spider Arachnids Hentzia
81,81,Hentzia palmarum,Common Hentz Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,palmarum,00081_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hentzia_palmarum,Common Hentz Jumper Arachnids Hentzia
82,82,Hypoblemum griseum,White banded house jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hypoblemum,griseum,00082_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hypoblemum_griseum,White banded house jumper Arachnids Hypoblemum
83,83,Lyssomanes viridis,Magnolia Green Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Lyssomanes,viridis,00083_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Lyssomanes_viridis,Magnolia Green Jumper Arachnids Lyssomanes
84,84,Maevia inclemens,Dimorphic Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Maevia,inclemens,00084_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Maevia_inclemens,Dimorphic Jumper Arachnids Maevia
85,85,Marpissa muscosa,Fencepost jumping spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Marpissa,muscosa,00085_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Marpissa_muscosa,Fencepost jumping spider Arachnids Marpissa
86,86,Menemerus bivittatus,Gray Wall Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,bivittatus,00086_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Menemerus_bivittatus,Gray Wall Jumper Arachnids Menemerus
87,87,Menemerus semilimbatus,Menemerus semilimbatus,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,semilimbatus,00087_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Menemerus_semilimbatus,Menemerus semilimbatus Arachnids Menemerus
88,88,Metacyrba taeniola,Ribbon Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Metacyrba,taeniola,00088_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Metacyrba_taeniola,Ribbon Jumping Spider Arachnids Metacyrba
89,89,Naphrys pulex,Flea Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Naphrys,pulex,00089_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Naphrys_pulex,Flea Jumper Arachnids Naphrys
90,90,Paraphidippus aurantius,Golden Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Paraphidippus,aurantius,00090_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Paraphidippus_aurantius,Golden Jumping Spider Arachnids Paraphidippus
91,91,Pelegrina galathea,Peppered Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Pelegrina,galathea,00091_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Pelegrina_galathea,Peppered Jumper Arachnids Pelegrina
92,92,Phidippus audax,Bold Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,audax,00092_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_audax,Bold Jumper Arachnids Phidippus
93,93,Phidippus clarus,Brilliant Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,clarus,00093_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_clarus,Brilliant Jumper Arachnids Phidippus
94,94,Phidippus johnsoni,Johnson's Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,johnsoni,00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni,Johnson's Jumping Spider Arachnids Phidippus
95,95,Philaeus chrysops,Red-bellied Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Philaeus,chrysops,00095_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Philaeus_chrysops,Red-bellied Jumping Spider Arachnids Philaeus
96,96,Platycryptus undatus,Tan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Platycryptus,undatus,00096_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Platycryptus_undatus,Tan Jumping Spider Arachnids Platycryptus
97,97,Plexippus paykulli,Pantropical Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Plexippus,paykulli,00097_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Plexippus_paykulli,Pantropical Jumper Arachnids Plexippus
98,98,Salticus scenicus,Zebra Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticus,scenicus,00098_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Salticus_scenicus,Zebra Jumper Arachnids Salticus
99,99,Sassacus vitis,Buttonhook Leaf-beetle Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Sassacus,vitis,00099_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Sassacus_vitis,Buttonhook Leaf-beetle Jumping Spider Arachnids Sassacus
100,100,Trite auricoma,Golden-brown Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Trite,auricoma,00100_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Trite_auricoma,Golden-brown Jumping Spider Arachnids Trite
